id|name|city_id
1|Pekutatan|1
2|Mendoyo|1
3|Melaya|1
4|Jembrana|1
5|Negara|1
6|Baturiti|2
7|Marga|2
8|Pupuan|2
9|Selemadeg|2
10|Salemadeg Barat|2
11|Salamadeg Timur|2
12|Kerambitan|2
13|Penebel|2
14|Kediri|2
15|Tabanan|2
16|Tejakula|3
17|Kubutambahan|3
18|Sawan|3
19|Sukasada|3
20|Gerokgak|3
21|Busungbiu|3
22|Seririt|3
23|Banjar|3
24|Buleleng|3
25|Manggis|4
26|Sidemen|4
27|Rendang|4
28|Selat|4
29|Bebandem|4
30|Kubu|4
31|Abang|4
32|Karang Asem|4
33|Nusapenida|5
34|Dawan|5
35|Banjarangkan|5
36|Klungkung|5
37|Tembuku|6
38|Susut|6
39|Kintamani|6
40|Bangli|6
41|Sukawati|7
42|Belah Batuh (Blahbatuh)|7
43|Payangan|7
44|Ubud|7
45|Tegallalang|7
46|Tampak Siring|7
47|Gianyar|7
48|Kuta Selatan|8
49|Kuta|8
50|Kuta Utara|8
51|Petang|8
52|Abiansemal|8
53|Mengwi|8
54|Denpasar Utara|9
55|Denpasar Timur|9
56|Denpasar Selatan|9
57|Denpasar Barat|9
58|Lepar Pongok|10
59|Kepulauan Pongok|10
60|Tukak Sadai|10
61|Toboali|10
62|Air Gegas|10
63|Pulau Besar|10
64|Payung|10
65|Simpang Rimba|10
66|Pangkalan Baru|11
67|Namang|11
68|Lubuk Besar|11
69|Koba|11
70|Sungai Selan|11
71|Simpang Katis|11
72|Kelapa Kampit|12
73|Damar|12
74|Simpang Renggiang|12
75|Gantung|12
76|Simpang Pesak|12
77|Dendang|12
78|Manggar|12
79|Selat Nasik|13
80|Membalong|13
81|Badau|13
82|Tanjung Pandan|13
83|Sijuk|13
84|Simpang Teritip|14
85|Tempilang|14
86|Kelapa|14
87|Jebus|14
88|Parittiga|14
89|Mentok (Muntok)|14
90|Pemali|15
91|Riau Silip|15
92|Belinyu|15
93|Bakam|15
94|Sungai Liat|15
95|Puding Besar|15
96|Mendo Barat|15
97|Merawang|15
98|Bukit Intan|16
99|Girimaya|16
100|Rangkui|16
101|Taman Sari|16
102|Gerunggang|16
103|Gabek|16
104|Pangkal Balam|16
105|Pulo Ampel|17
106|Bojonegara|17
107|Waringin Kurung|17
108|Ciwandan|18
109|Citangkil|18
110|Pulomerak|18
111|Gerogol|18
112|Purwakarta|18
113|Cibeber|18
114|Cilegon|18
115|Jombang|18
116|Wanasalam|19
117|Cigemblong|19
118|Cijaku|19
119|Cibeber|19
