id|name|district_id
1|Pulukan|1
2|Pekutatan|1
3|Pengeragoan (Pengragoan)|1
4|Medewi|1
5|Pangyangan|1
6|Gumbrih|1
7|Manggissari|1
8|Asahduren|1
9|Yeh Embang Kauh|2
10|Yeh Sumbul|2
11|Yeh Embang Kangin|2
12|Yeh Embang|2
13|Tegal Cangkring|2
14|Pohsanten|2
15|Pergung|2
16|Penyaringan|2
17|Mendoyo Dangin Tukad|2
18|Mendoyo Dauh Tukad|2
19|Delod Berawah|2
20|Warnasari|3
21|Tuwed|3
22|Nusa Sari|3
23|Tukadaya|3
24|Melaya|3
25|Manistutu|3
26|Gilimanuk|3
27|Ekasari|3
28|Blimbingsari (Belimbingsari)|3
29|Candikusuma|3
30|Yeh Kuning|4
31|Tegal Badeng Timur|5
32|Tegal Badeng Barat|5
33|Pengambengan|5
34|Perancak|4
35|Sangkaragung|4
36|Kaliakah|5
37|Dauhwaru|4
38|Cupel|5
39|Budeng|4
40|Dangin Tukadaya|4
41|Banyubiru|5
42|Berangbang|5
43|Batuagung|4
44|Baluk|5
45|Air Kuning|4
46|Loloan Barat|5
47|Loloan Timur|4
48|Banjar Tengah|5
49|Lelateng|5
50|Baler Bale Agung|5
51|Pendem|4
52|Perean Tengah|6
53|Perean|6
54|Perean Kangin|6
55|Luwus|6
56|Mekarsari|6
57|Baturiti|6
58|Candikuning|6
59|Bangli|6
60|Batunya|6
61|Antapan|6
62|Apuan|6
63|Angseri|6
64|Tegaljadi|7
65|Tua|7
66|Peken Belayu|7
67|Petiga|7
68|Selanbawak|7
69|Marga Dauh Puri|7
70|Payangan|7
71|Marga|7
72|Marga Dajan Puri|7
73|Kukuh|7
74|Kuwum|7
75|Beringkit|7
76|Caubelayu|7
77|Geluntung|7
78|Batannyuh|7
79|Pujungan|8
80|Pupuan|8
81|Sanda|8
82|Padangan|8
83|Pajahan|8
84|Kebon Padangan|8
85|Munduk Temu|8
86|Karya Sari|8
87|Belimbing|8
88|Jelijih Punggang|8
89|Batungsel|8
90|Belatungan|8
91|Wanagiri Kauh|9
92|Bantiran|8
93|Wanagiri|9
94|Tiying Gading|10
95|Tangguntiti|11
96|Tegal Mengkeb|11
97|Selemadeg|9
98|Serampingan|9
99|Pupuan Sawah|9
100|Selabih|10
101|Mundeh|10
102|Mundeh Kangin|10
103|Mundeh Kauh|10
104|Megati|11
105|Manikyang|9
106|Lumbung Kauh|10
107|Mambang|11
108|Lumbung|10
109|Lalang Linggah|10
110|Gunung Salak|11
111|Gadung Sari|11
112|Gadungan|11
113|Beraban|11
114|Dalang|11
115|Berembeng|9
116|Bengkel Sari|10
117|Bantas|11
118|Bajera Utara|9
119|Antosari|10
120|Bajera|9
121|Antap|9
122|Angkah|10
123|Tibu Biu (Tibubiyu)|12
124|Timpag|12
125|Tista|12
126|Penarukan|12
127|Samsam|12
128|Sembung Gede|12
129|Meliling|12
130|Pangkung Karung|12
131|Kerambitan|12
132|Kesiut|12
133|Kukuh|12
134|Belumbang|12
135|Kelating|12
136|Batuaji|12
137|Baturiti|12
138|Wongaya Gede|13
139|Tegalinggah|13
140|Tengkudak|13
141|Sangketan|13
142|Senganan|13
